"";"record_id";"other_titles";"publisher";"country_of_publication";"main_topic";"data_type";"related_resources";"holdings";"holdings_begin";"holdings_end";"issn";"arabic_abstract";"english_abstract";"french_abstract";"canonical";"title"
"682";"BIM-406327";"Arab Arts Journal : a Refereed Academic Journal";"Association of Arab universities The Scientific Society of Faculties of Arts";"Jordan";"Human Sciences (Multidisciplinary)Social Sciences (Multidisciplinary)";"Journals";NA;1;2004-06-30;2004-06-30;NA;"مجلة علمية محكمة تصدر عن اتحاد الجامعات العربية، جمعية كليات الآداب. تنشر أبحاثها في مجال العلوم الإنسانية.";NA;NA;"https://search.emarefa.net/detail/BIM-406327";" حولية جمعية كليات الآداب"
"683";"BIM-408100";"International Design Journal : A peer reviewed journal issued by The Designer Scientific Society";"Scientific Society for Egyptians Designers";"Egypt";"Political Sciences";"Journals";NA;21;2014-06-30;2019-10-31;"2090-9632";"تصدر المجلة عن الجمعية العلمية للمصممين و هي جمعية مشهرة برقم 3786 لسنة 2010 بالعجوزة بالاشتراك مع كلية الفنون التطبيقية-جامعة بدر بالقاهرة و نقابة المصممين و تستهدف نشر الثقافة بين جموع المصممين كما تستهدف الرقى بقدراتهم إلى مصاف المستويات العالمية. و المجلة دولية و محكمة يقوم بتحكيم بحوثها لجان تحكيم اللجان العلمية الدائمة لقطاعات الفنون التطبيقية و الجميلة وقطاعات الهندسة قريبة الصلة من أنشطة التصميم، بالإضافة إلى تقييم البحوث دوليا على لجان متخصصة من المحكمين الأجانب العاملين في مجال التصميم الفني و تصميم المنتجات و التصميم الهندسي و الصناعي في كافة تخصصات التصميم التي يتناولها العمل في كليات و معاهد الفنون التطبيقية و الجميلة. تتبع مجلة التصميم الدولية سياسة الاستخدام المفتوح، و هي دورية علمية محكمة، في مجالات التصميم و التصنيع و الفنون. و تهتم المجلة بنشر ثقافة التصميم و الرقى بقدرات الباحثين و المصممين العرب في بحوثهم و أعمالهم التصميمية إلى المستوى العالمي. يقوم بتحكيم البحوث محكمين من أنحاء العالم لهم سمعة عالمية في مجالات التصميم و التكنولوجيا المتعلقة به و كذلك مجالات الفن و تعليم الفنون و التصميم و غيرها. يتم تحكيم الأعمال المقدمة للمجلة للنشر من خلال قاعدة Double Blind التي تعنى أنه ليس هناك فرصة لأن يعرف المحكم هوية صاحب البحث أو أن يعرف صاحب البحث هوية من حكم له البحث، الأمر الذى يتيح فرصة أفضل لتحكيم عادل و يعطى الباحثين فرصة محايدة تماما لتلقى تقييم غير منحاز بأي شكل.";"The journal is issued by the Scientific Association of Designers, an officially accredited society, in conjunction with the Faculty of Applied Arts and Designers Syndicate. The journal seeks out the dissemination of culture among the masses of the designers. It also targets enhancing their abilities to the ranks of international standards. Research work submitted to the journal is subject to DOUBLE BLIND international refereeing. This means that the reviewers of the paper won’t get to know the identity of the author(s), and the author(s) won’t get to know the identity of the reviewer. The idea is that everyone should get a similar and unbiased review. Also a board of prominent referees form all fields related to design judge the quality and value of all offered studies. In addition to evaluating research internationally by specialized committees of international referees working in all fields of product design, engineering and industrial design in all disciplines covered work in all applied arts, fine arts academic institutions.";NA;"https://search.emarefa.net/detail/BIM-408100";" مجلة التصميم الدولية"
"684";"BIM-409353";NA;"Ashdin Publishing Corporation";"Egypt";"Social Sciences (Multidisciplinary)";"Journals";NA;7;2012-12-31;2019-12-31;"2090-8334";NA;"The Journal of Drug and Alcohol Research, the Official Journal of the International Drug Abuse Research Society, is a scholarly, open access, and peer-reviewed journal dedicated to publishing original research papers, reviews, protocols, news and views, and commentaries in the field of drug, nicotine and alcohol abuse, both basic and clinical. All papers submitted to the Journal of Drug and Alcohol Research will be subjected to peer review by the editorial board of the journal as well as by at least two outside experts. In case of conflicting opinions, the editor may review the manuscript himself or forward it to another expert for a final review. Manuscripts will be published online as soon as they are accepted which will reduce the time of publication. Because there are no space limitations or favored topics, all papers, within the scope of the journal, judged to be sound by the reviewers, will be published. Everyone will have equal and open access to the journal via the Internet. While the authors may retain the copyright for their article, they will allow anyone to download, reproduce, publish, modify or copy and distribute the article so long as the authors and the source are cited. Permission is not required from the journal or authors.";NA;"https://search.emarefa.net/detail/BIM-409353";" Journal of Drug and Alcohol Research"
"685";"BIM-413370";"Communication and Development";"Arab Association for Research and Communication Sciences";"Lebanon";"Media and Communication";"Journals";NA;14;2010-10-31;2015-09-30;"2409-7071";"تمثّل مجلة ""الاتصال و التنمية"" فضاء بحثيا لنشر البحوث و الدراسات الأصيلة و المبتكرة و الملتزمة بشروط الكتابة العلمية. و تهدف المجلة إلى تجاوز ندرة الفضاءات المخصّصة للنشر الأكاديمي، و فرص اللقاء و الحوار بين الباحثين العرب، و تطوير حقل الدراسات التي تتمحور حول الاتصال و التنمية، و ذلك من خلال تيسير عملية تبادل المعارف و التجارب البحثية. كما تسعى المجلة إلى تشجيع آليات النشر، مما يسمح بخلق فضاءات نشر جديدة بالنسبة للباحثين العرب، و التعريف ببحوثهم و إسهاماتهم في مجال الدراسات الاتصالية و التنموية لدى الأوساط الأكاديمية في مجال العلوم الإنسانية و الاجتماعية، و الأوساط المهتمة بإشكاليات الاتصال و التنمية. ";NA;NA;"https://search.emarefa.net/detail/BIM-413370";" الاتصال و التنمية"
"686";"BIM-416353";"Journal of al-Quds Open University : for Educational and Psychological Research and Studies : a Scientific Refereed Journal";"al-Quds Open University Deanship of Scientific Research and Graduate Studies";"Palestine (West Bank)";"EducationPsychology";"Journals";NA;28;2013-04-30;2019-08-31;"2307-4647";"مجلة جامعة القدس المفتوحة للأبحاث و الدراسات التربوية و النفسية : مجلة متخصصة و محكمة تصدر عن عمادة البحث العلمي و الدراسات العليا في جامعة القدس المفتوحة، و تعنى بنشر الأبحاث و الدراسات و المقالات الموثقة و الترجمات في المجالات التربوية و النفسية على اختلاف تخصصاتها مثل : المناهج و الأساليب و الإدارة التربوية و الإشراف التربوي و الإرشاد النفسي و التربوي و الصحة النفسية و علم النفس و غيره، و للمجلة هيئة تحرير من المتخصصين في العلوم التربوية و النفسية و تخضع الأبحاث المرسلة إليها للتحكيم وفق معايير علمية دقيقة و تنشر أبحاثها ورقيا و إلكترونياً. و قد صدر العدد الأول منها في اليوم الأول من شهر نيسان / ابريل / 2013 بعد حصولها على الرقم المعياري الدولي ISSN.";NA;NA;"https://search.emarefa.net/detail/BIM-416353";" مجلة جامعة القدس المفتوحة : للأبحاث و الدراسات التربوية و النفسية"
"687";"BIM-416926";"مجلة التسيير و الاقتصادJournal of Business and Economics";"Hasan Balihi";"Morocco";"Economics & Business Administration";"Journals";NA;13;2013-06-30;2018-12-31;"2351-8111";NA;NA;"JBE est une Revue Académique Internationale ayant pour ambition de diffuser des articles originaux de chercheurs en gestion, en entrepreneuriat et en économie, des universitaires et des professionnels, respectant les normes et standards académiques de la recherche scientifique... JBE a pour objectif de permettre aux enseignants-chercheurs et praticiens de communiquer, d’échanger et de soumettre à la critique leurs réflexions et leurs recherches sur la gestion, l’entrepreneuriat et l'économie avec l’ensemble des champs managériaux : Finance, Contrôle de gestion, Marketing, Ressources Elle s’adresse Aux enseignants-chercheurs, Doctorants et Étudiants en sciences de gestion ainsi qu’aux Gestionnaires passionnés de l’évolution des pratiques et innovations entrepreneuriales, managériales et économiques.";"https://search.emarefa.net/detail/BIM-416926";" Revue de Gestion et d’Économie."
"688";"BIM-417039";"al-Tarbiyah wa-al-IIim";"University of Mosul College of Education";"Iraq";"Human Sciences (Multidisciplinary)Natural & Life Sciences (Multidisciplinary)";"Journals";" التربية و العلم : مجلة علمية للبحوث التربوية و الإنسانية  التربية و العلم : مجلة علمية للبحوث العلمية الأساسية ";1;1979-02-28;1979-02-28;NA;"صدر العدد الأول للمجلة عام 1979م، ضم العدد البحوث / العلوم الصرفة و العلوم الإنسانية، و في عام 1987 بدأت المجلة بنشر بحوثها بعددين مستقلين عدد خاص بالعلوم الصرفة و آخر بالعلوم الإنسانية.";NA;NA;"https://search.emarefa.net/detail/BIM-417039";" التربية و العلم"
"689";"BIM-421028";NA;"Ministry of Finance Public Debt Department";"Jordan";"Periodic Statistical ReportsEconomyBanking and Financial Sciences";"Journals";" نشرة الدين العام : نشرة ربعية ";6;2013-06-30;2014-12-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-421028";" Public Debt Bulletin"
"690";"BIM-429567";NA;"Central Bank of Jordan Research Department";"Jordan";"Periodic Statistical ReportsEconomyBanking and Financial Sciences";"Journals";" التقرير السنوي ";3;2013-03-31;2015-03-31;"0069-1550";NA;NA;NA;"https://search.emarefa.net/detail/BIM-429567";" Annual Report"
"691";"BIM-431550";NA;"Central Bank of Jordan";"Jordan";"Periodic Statistical ReportsEconomyBanking and Financial Sciences";"Journals";" Financial Stability Report  تقرير استقرار القطاع المالي في الأردن ";1;2015-12-31;2015-12-31;NA;"يأتي إصدار تقرير الاستقرار المالي سنويا في ضوء جهود البنك المركزي الأردني المستمرة لتعزيز استقرار القطاع المالي و المصرفي في المملكة و توفير بيانات كافية عن كافة مناحي الاقتصاد و القطاع المالي في الأردن، و بموجب القانون المعدل لقانون البنك المركزي لسنة 2016 و الذي صدر مؤخرا فقد تم توسيع أهداف البنك المركزي الأردني و ذلك بالنص الصريح لتشمل المحافظة على الاستقرار المالي إلى جانب الاستقرار النقدي.";NA;NA;"https://search.emarefa.net/detail/BIM-431550";" تقرير الاستقرار المالي"
"692";"BIM-431557";NA;"Central Bank of Jordan";"Jordan";"Periodic Statistical ReportsEconomyBanking and Financial Sciences";"Journals";" تقرير الاستقرار المالي ";1;2015-12-31;2015-12-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-431557";" Financial Stability Report"
"693";"BIM-431708";"نافذة إحصائية على الاقتصاد القطرينافذة على الإحصاءات الاقتصادية لدولة قطر";"Ministry of Development Planning and Statistics";"Qatar";"Periodic Statistical ReportsEconomy";"Journals";" Window on Economic Statistics of Qatar ";1;2016-12-31;2016-12-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-431708";" نافذة على الإحصاءات الاقتصادية لدولة قطر"
"694";"BIM-431732";NA;"Ministry of Development Planning and Statistics";"Qatar";"Periodic Statistical ReportsEconomy";"Journals";" نافذة على الإحصاءات الاقتصادية لدولة قطر ";1;2016-12-31;2016-12-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-431732";" Window on Economic Statistics of Qatar"
"695";"BIM-43360";"Arab Journal of Political Science";"Arab Association of Political Science";"Lebanon";"Political Sciences";"Journals";NA;35;2006-07-31;2016-09-30;"2309-2637";"المجلة العربية للعلوم السياسية : مجلة دورية عالمية محكمة. المجالات : العلوم السياسية، تصدر عن الجمعية العربية للعلوم السياسية بالتعاون مع مركز دراسات الوحدة العربية في بيروت. التصنيف الدولي المعياري 2309-2637 و هي مجلة علمية عالمية محكمة متخصصة بالعلوم السياسية في مجالات (السياسة الدولية، و النظرية السياسية، و الاقتصاد السياسي، و النظرية السياسية...). تعنى بتقديم مجموعة من الدراسات العلمية المرموقة و الأصيلة. تصدر المجلة فصلياً. تخضع الدراسات المقدمة للمجلة للتحكيم العلمي الدقيق. ";NA;NA;"https://search.emarefa.net/detail/BIM-43360";" المجلة العربية للعلوم السياسية"
"696";"BIM-435068";"College of Education Journal";"University of Thi-Qar College of Education";"Iraq";"Education";"Journals";" مجلة كلية التربية للعلوم الإنسانية : مجلة فصلية علمية محكمة  مجلة كلية التربية للعلوم الصرفة : مجلة فصلية علمية محكمة ";7;2010-03-31;2012-04-30;"2073-6592";NA;"مجلة كلية التربية مجلة علمية محكمة كانت تصدر عن كلية التربية في جامعة ذي قار قبل انقسامها الى مجلة كلية التربية للعلوم الصرفة و مجلة كلية التربية للعلوم الإنسانية.";NA;"https://search.emarefa.net/detail/BIM-435068";" مجلة كلية التربية"
"697";"BIM-435555";"Journal of Research in Islamic Economics";"King Abdulaziz University Scientific Publishing Center";"Saudi Arabia";"EconomyBanking and Financial SciencesReligionIslamic Studies";"Journals";NA;1;1985-12-31;1985-12-31;NA;"مجلة أبحاث الاقتصاد الإسلامي الإسم السابق لمجلة جامعة الملك عبد العزيز : الاقتصاد الإسلامي و هي تصدر عن جامعة الملك عبد العزيز، مركز النشر العلمي. ";NA;NA;"https://search.emarefa.net/detail/BIM-435555";" مجلة أبحاث الاقتصاد الإسلامي"
"698";"BIM-438127";NA;"Hindawi Publishing Corporation";"Egypt";"Economics & Business AdministrationBusiness Administration";"Journals";NA;5;2010-12-31;2014-12-31;NA;NA;"Advances in Decision Sciences is a peer-reviewed, open access journal that publishes original research articles as well as review articles in all areas of decision sciences.";NA;"https://search.emarefa.net/detail/BIM-438127";" Advances in Decision Sciences"
"699";"BIM-438228";NA;"Hindawi Publishing Corporation";"Egypt";"Social Sciences (Multidisciplinary)";"Journals";NA;4;2011-12-31;2014-12-31;NA;NA;"Child Development Research is a peer-reviewed, open access journal that publishes original research articles as well as review articles in all areas of child development research.";NA;"https://search.emarefa.net/detail/BIM-438228";" Child Development Research"
"700";"BIM-438239";NA;"Hindawi Publishing Corporation";"Egypt";"EconomyMechanical Engineering";"Journals";NA;1;2013-12-31;2013-12-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-438239";" Conference Papers in Energy"
"701";"BIM-438267";NA;"Hindawi Publishing Corporation";"Egypt";"Economy";"Journals";NA;5;2010-12-31;2014-12-31;NA;NA;"Economics Research International is a peer-reviewed, open access journal that publishes original research articles as well as review articles in all areas of economics.";NA;"https://search.emarefa.net/detail/BIM-438267";" Economics Research International"
"702";"BIM-438268";NA;"Hindawi Publishing Corporation";"Egypt";"Education";"Journals";NA;4;2011-12-31;2014-12-31;NA;NA;"Education Research International is a peer-reviewed, open access journal that publishes original research articles as well as review articles in all areas of education.";NA;"https://search.emarefa.net/detail/BIM-438268";" Education Research International"
"703";"BIM-438275";NA;"Hindawi Publishing Corporation";"Egypt";"EconomyMathematics";"Journals";NA;2;2013-12-31;2014-12-31;NA;NA;"Game Theory is a peer-reviewed, open access journal that publishes original research articles as well as review articles related to all aspects of game theory.";NA;"https://search.emarefa.net/detail/BIM-438275";" Game Theory"
"704";"BIM-438311";NA;"Hindawi Publishing Corporation";"Egypt";"Economy";"Journals";NA;1;2012-12-31;2012-12-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-438311";" ISRN Economics"
"705";"BIM-438444";NA;"Hindawi Publishing Corporation";"Egypt";"Economics & Business AdministrationEconomy";"Journals";NA;4;2011-12-31;2014-12-31;NA;NA;"International Journal of Population Research is a peer-reviewed, open access journal that publishes original research articles as well as review articles in all areas of population research.";NA;"https://search.emarefa.net/detail/BIM-438444";" International Journal of Population Research"
"706";"BIM-438447";NA;"Hindawi Publishing Corporation";"Egypt";"Economics & Business AdministrationEconomy";"Journals";NA;5;2008-12-31;2012-12-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-438447";" International Journal of Quality, Statistics, and Reliability"
"707";"BIM-438463";NA;"Hindawi Publishing Corporation";"Egypt";"SociologyPublic Health";"Journals";NA;2;2013-12-31;2014-12-31;NA;NA;"Journal of Addiction is a peer-reviewed, open access journal that publishes original research articles, review articles, and clinical studies related to all aspects of addiction.";NA;"https://search.emarefa.net/detail/BIM-438463";" Journal of Addiction"
"708";"BIM-438472";NA;"Hindawi Publishing Corporation";"Egypt";"Sociology";"Journals";NA;4;2011-12-31;2014-12-31;NA;NA;"Journal of Anthropology is a peer-reviewed, open access journal that publishes original research articles as well as review articles in all areas of anthropology.";NA;"https://search.emarefa.net/detail/BIM-438472";" Journal of Anthropology"
"709";"BIM-438510";NA;"Hindawi Publishing Corporation";"Egypt";"Social Sciences (Multidisciplinary)Sociology";"Journals";NA;1;2013-12-31;2013-12-31;NA;NA;"Journal of Criminology is a peer-reviewed, open access journal that publishes original research articles as well as review articles in all areas of criminology.";NA;"https://search.emarefa.net/detail/BIM-438510";" Journal of Criminology"
"710";"BIM-438580";NA;"Hindawi Publishing Corporation";"Egypt";"Economics & Business Administration";"Journals";NA;3;2011-12-31;2013-12-31;NA;NA;"Journal of Textiles is a peer-reviewed, open access journal that publishes original research articles as well as review articles related to all aspects of textiles.";NA;"https://search.emarefa.net/detail/BIM-438580";" Journal of Textiles"
"711";"BIM-438650";NA;"Hindawi Publishing Corporation";"Egypt";"Social Sciences (Multidisciplinary)";"Journals";NA;3;2011-12-31;2013-12-31;NA;NA;"Urban Studies Research is a peer-reviewed, open access journal that publishes original research articles as well as review articles in all areas of urban studies.";NA;"https://search.emarefa.net/detail/BIM-438650";" Urban Studies Research"
"712";"BIM-439009";"Journal of Economic SciencesSUST Journal of Economic Sciencesمجلة العلوم الاقتصاديةJournal of Science and Technology : Refereed Scientific Biannual Journal : in Economic Sciencesمجلة العلوم الاقتصادية و الإداريةEconomic and Management Sciences";"Sudan University of Science and Technology Deanship of Scientific Research";"Sudan";"Economics & Business Administration";"Journals";" مجلة العلوم و التقانة : مجلة علمية محكمة نصف سنوية : في العلوم الإنسانية و الاقتصادية ";15;2012-06-30;2019-06-30;"1858-6740";"مجلة العلوم الاقتصادية مجلة محكمة تصدر عن عمادة البحث العلمي-جامعة السودان للعلوم و التكنولوجيا و ترحب المجلة بالأوراق العلمية الأصيلة و المراجعات و الرسائل القصيرة كما تهتم بنشر الأوراق المقدمة في المؤتمرات و الندوات بعد عرضها على لجنة التحكيم شريطة عدم وجود حقوق نشر لجهات أخرى.";NA;NA;"https://search.emarefa.net/detail/BIM-439009";" مجلة العلوم و التقانة في العلوم الاقتصادية"
"713";"BIM-439431";"Journal of Science and Technology : Refereed Scientific Biannual Journal : in Human and Economic Sciences";"Sudan University of Science and Technology Deanship of Scientific Research";"Sudan";"Human Sciences (Multidisciplinary)Economy";"Journals";" مجلة العلوم و التقانة : مجلة علمية محكمة : في العلوم الإنسانية  مجلة العلوم و التقانة في العلوم الاقتصادية : مجلة علمية محكمة نصف سنوية في العلوم الاقتصادية ";5;2012-05-31;2013-03-31;"1605-427X";"مجلة العلوم و التقانة في العلوم الإنسانية و الاقتصادية مجلة محكمة تصدر عن عمادة البحث العلمي-جامعة السودان للعلوم و التكنولوجيا.";NA;NA;"https://search.emarefa.net/detail/BIM-439431";" مجلة العلوم و التقانة : في العلوم الإنسانية و الاقتصادية"
"714";"BIM-439485";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical Reports";"Journals";" دليل التجمعات السكانية الفلسطينية ";1;1999-12-31;1999-12-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-439485";" Manual of the Palestinian Localities"
"715";"BIM-439489";"Journal of Science and Technology : Refereed Scientific Journal : in HumanitiesSUST Journal of HumanitiesJournal of Humanitiesمجلة العلوم الإنسانية";"Sudan University of Science and Technology Deanship of Scientific Research";"Sudan";"Human Sciences (Multidisciplinary)";"Journals";" مجلة العلوم و التقانة : مجلة علمية محكمة نصف سنوية : في العلوم الإنسانية و الاقتصادية ";22;2013-09-30;2019-03-31;"1858-6724";"مجلة العلوم الإنسانية مجلة علمية محكمة تصدر عن عمادة البحث العلمي-جامعة السودان للعلوم و التكنولوجيا و ترحب المجلة بالأوراق العلمية الأصيلة و المراجعات و الرسائل القصيرة كما تهتم بنشر الأوراق المقدمة في المؤتمرات و الندوات بعد عرضها على لجنة التحكيم شريطة عدم وجود حقوق نشر لجهات أخرى.";NA;NA;"https://search.emarefa.net/detail/BIM-439489";" مجلة العلوم و التقانة : في العلوم الإنسانية"
"716";"BIM-44125";NA;"Central Bank of the United Arab Emirates";"United Arab Emirates";"Periodic Statistical ReportsEconomy";"Journals";" Annual Report ";4;2008-12-31;2014-12-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-44125";" التقرير السنوي"
"717";"BIM-443752";"جامعة : أبحاث إسلامية، تربوية، أدبية و علميةجامعة : أبحاث في العلوم التربوية و الاجتماعيةJami'a : Journal in Educational and Social Sciences";"أكاديمية القاسمي مركز الأبحاث التربوية و الاجتماعية";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Education";"Journals";NA;24;2000-10-31;2018-12-31;"1565-8090";"تصدر مجلة جامعة عن أكاديمية القاسمي، باقة الغربية، و هي كلية أكاديمية للتربية و إعداد المعلمين. مجلة جامعة هي مجلة علمية محكمة تصدر عن الأكاديمية منذ ما ينيف عن خمسة عشر عاما. تهتم مجلة جامعة بالأبحاث و المقالات في المجالين التربوي و الإجتماعي. و هي تنشر مقالات باللغات المختلفة و تريد أن تكون منبرا لكل الكتاب و الباحثين الجادين في المجالين المذكورين سابقا. مجلة جامعة تطمح أن تكون مجلة مقروءة من قبل قراء مختلفين من باحثين جادين و تربويين و معلمين و طلاب أكاديميين. تريد المجلة أن تكون منبرا لما يحدث في العالم الأكاديمي من ظهور نظريات تربوية و اجتماعية جديدة، و من ظهور طرق و استراتيجيات مختلفة لتطبيق تلك النظريات عمليا، و بالتأكيد للتجارب التي تطبق النظريات / الطرق / الاستراتيجيات. هذا بهدف أن تسهم في عملية التغيير و التطور الإيجابيين في مجتمعنا المحلي و المجتمع العالمي. المجلة تريد أن تكون جزء من الثورة التكنولوجية التي تجتاح العالم وهي موجودة بنسختين، نسخة إلكترونية و نسخة ورقية. المقالات في جامعة تنشر مباشرة على الإنترنت حال قبولها، ثم تنشر ورقيا في موعد صدور النسخة الورقية من جامعة و هو مرتان في العام.";NA;NA;"https://search.emarefa.net/detail/BIM-443752";" جامعة : أبحاث في العلوم التربوية و الاجتماعية"
"718";"BIM-443778";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical Reports";"Journals";" الفلسطينيون في نهاية عام ";2;2013-12-31;2014-12-31;NA;NA;"Annual Report Issued from Palestinian National Authority, Palestinian Central Bureau of Statistics. Publish its Researches in the field of Periodic Statistical Reports and Social Sciences / Palestine.";NA;"https://search.emarefa.net/detail/BIM-443778";" Palestinians at the End of Year"
"719";"BIM-46540";"منتدى البحوث الاقتصادية : سلسلة أوراق عمل";"Economic Research Forum for the Arab Countries Iran and Turkey";"Egypt";"Economy";"Journals";NA;17;2000-12-31;2018-12-31;NA;NA;"ERF’s Working Papers Series disseminates work in progress in order to promote constructive debate and peer review.";NA;"https://search.emarefa.net/detail/BIM-46540";" Economic Research Forum : Working Paper Series"
"720";"BIM-50448";NA;"Central Bank of the United Arab Emirates";"United Arab Emirates";"Periodic Statistical ReportsEconomyBanking and Financial Sciences";"Journals";" Economic Bulletin ";1;2008-06-30;2008-06-30;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-50448";" النشرة الاقتصادية"
"721";"BIM-514291";"Revue Académique de la Recherche Juridique";"Université Abderrahmane Mira-Bejaia Faculté de Droit et des Sciences Politiques";"Algeria";"Law";"Journals";NA;9;2015-06-30;2018-06-30;"2170-0087";"مجلة متخصصة محكمة سداسية أنشأت سنة 2010، تنشر باللغات الثلاث عربي، إنجليزي و فرنسي، و تعمل على تشجيع البحث العلمي و تأهيل الباحثين لمناقشة رسائل الدكتوراه و التأهيل الجامعي و الأستاذية تصدر عن جامعة عبد الرحمان ميرة بجاية";NA;NA;"https://search.emarefa.net/detail/BIM-514291";" المجلة الأكاديمية للبحث القانوني"
"722";"BIM-514777";"رؤية تركيامجلة رؤية تركيةInsight Turkey";"Foundation for Political Economic and Social Research";"Turkey";"Political Sciences";"Journals";NA;28;2012-03-31;2019-12-31;"2458-8458";"هي مجلة شبه أكاديمية فصلية تصدر عن مركز ستا للدراسات السياسية و الاقتصادية و الاجتماعية. و منذ عام ١٩٩٩ أثبتت نسختها الأصلية باللغة الإنجليزية جدارتها و أنها مصدر هائل للمعلومات لصانعي السياسة و الدبلوماسيين و الصحفيين و نخبة رجال الأعمال و كذلك للطلاب و الباحثين. و باعتماد هذه التجربة نأمل أن تكون المجلة بنسختها العربية منبعا لرؤى جديدة في التحليل السياسي للشؤون الشرق أوسطية و العالمية. كما تتطلع «رؤيـة تركـية» في إصدارها العربي الجديد في تعزيز مناخ التعاون و الشراكة بين العرب و الأتراك.";NA;NA;"https://search.emarefa.net/detail/BIM-514777";" رؤية تركية"
"723";"BIM-517820";"Journal of al-Quds Open University : for Administrative and Economic Research and Studies : a Scientific Refereed Journalمجلة جامعة القدس المفتوحة : للأبحاث و الدراسات الإدارية و الاقتصادية : مجلة علمية محكمةJournal of al-Quds Open University : for Administrative and Economic Research";"al-Quds Open University Deanship of Scientific Research and Graduate Studies";"Palestine (West Bank)";"Economics & Business Administration";"Journals";NA;11;2014-12-31;2019-06-30;NA;"مجلة جامعة القدس المفتوحة للأبحاث و الدراسات الإدارية و الاقتصادية مجلة متخصصة و محكمة تصدر عن عمادة البحث العلمي و الدراسات العليا في جامعة القدس المفتوحة، و تعنى بنشر الأبحاث و الدراسات و المقالات الموثقة و الترجمات في المجالات الإدارية و الاقتصادية على اختلاف تخصصاتها، و للمجلة هيئة تحرير من المتخصصين في العلوم الإدارية و الاقتصادية و تخضع الأبحاث المرسلة إليها للتحكيم وفق معايير علمية دقيقة و تنشر أبحاثها ورقيا و إلكترونياً. و قد صدر العدد الأول منها في اليوم الأول من شهر كانون الأول / ديسمبر / 2014 بعد حصولها على الرقم المعياري الدولي ISSN.";NA;NA;"https://search.emarefa.net/detail/BIM-517820";" مجلة جامعة القدس المفتوحة : للبحوث الإدارية و الاقتصادية"
"724";"BIM-517885";"Revue Algérien de Développement ÉconomiqueAlgerian Review of Economic Development";"Kasdi Merbah University of Ouargla Faculty of economic and commercial sciences and management in coordination laboratory of the rehabilitation and development requirements of the developing economies under the global economic openness";"Algeria";"Economics & Business Administration";"Journals";NA;10;2014-12-31;2019-06-30;NA;"ARED review, founded in 2014, is peer-reviewed academic review published semi-annually by the faculty of economic and commercial sciences and management in coordination with the laboratory of the rehabilitation and development requirements of the developing economies under the global economic openness. The editorial line of the review is based on the study of the institutional reforms importance and proposes policies to strengthen the institutions and governance principles and mechanisms, and developing the regulatory frameworks that support the investment opportunities, and rehabilitation of the developing economies for the challenges and implications of globalization. The review is concerned with the publication of theoretical and applied researches and studies in the fields of economic, commercial sciences and management and publishing the critical studies of various modern Arabic and foreign publications. The review welcomes the researchers contributions in three languages : Arabic, English and French.";NA;NA;"https://search.emarefa.net/detail/BIM-517885";" المجلة الجزائرية للتنمية الاقتصادية"
"725";"BIM-518489";"مسح الثقافة";"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Human Sciences (Multidisciplinary)Social Sciences (Multidisciplinary)Periodic Statistical Reports";"Journals";NA;1;2014-12-31;2014-12-31;NA;"تقرير يصدر عن السلطة الوطنية الفلسطينية، الجهاز المركزي للإحصاء الفلسطيني يقوم بمسح شامل للثقافة الأسرية في فلسطين.";NA;NA;"https://search.emarefa.net/detail/BIM-518489";" مسح الثقافة الأسري"
"726";"BIM-518957";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Human Sciences (Multidisciplinary)Social Sciences (Multidisciplinary)Periodic Statistical Reports";"Journals";" مسح الثقافة الأسري ";1;2014-12-31;2014-12-31;NA;NA;"Report issued by the Palestinian National Authority, Palestinian Central Bureau of Statistics is a comprehensive survey of the culture of the family in Palestine.";NA;"https://search.emarefa.net/detail/BIM-518957";" Household Culture Survey"
